route,method,mutating,roles,lods,anonymous
/api/v1/academy/certificates,GET,false,,,false
/api/v1/academy/courses,GET,false,admin,cross,false
/api/v1/academy/courses,POST,true,admin,cross,false
/api/v1/academy/courses/[id],GET,false,admin|admin,cross,false
/api/v1/academy/courses/[id],PATCH,true,admin|admin,cross,false
/api/v1/academy/courses/[id],DELETE,true,admin|admin,cross,false
/api/v1/academy/dashboard,GET,false,,,false
/api/v1/academy/enrollments/bulk,POST,true,admin,cross,false
/api/v1/academy/enrollments,GET,false,admin,cross,false
/api/v1/academy/enrollments,POST,true,admin,cross,false
/api/v1/academy/enrollments/[id]/progress,PATCH,true,,,false
/api/v1/academy/lessons,GET,false,admin,cross,false
/api/v1/academy/lessons,POST,true,admin,cross,false
/api/v1/academy/lessons/[id],GET,false,admin|admin,cross,false
/api/v1/academy/lessons/[id],PATCH,true,admin|admin,cross,false
/api/v1/academy/lessons/[id],DELETE,true,admin|admin,cross,false
/api/v1/academy/quiz-attempts,POST,true,,,false
/api/v1/access-log,GET,false,admin,cross,false
/api/v1/admin/abac/audit,GET,false,admin,cross,false
/api/v1/admin/abac/policies,GET,false,admin|admin,cross,false
/api/v1/admin/abac/policies,POST,true,admin|admin,cross,false
/api/v1/admin/abac/policies/[id],GET,false,admin|admin|admin,cross,false
/api/v1/admin/abac/policies/[id],PUT,true,admin|admin|admin,cross,false
/api/v1/admin/abac/policies/[id],DELETE,true,admin|admin|admin,cross,false
/api/v1/admin/abac/test,POST,true,admin,cross,false
/api/v1/admin/custom-fields,GET,false,admin|admin,cross,false
/api/v1/admin/custom-fields,POST,true,admin|admin,cross,false
/api/v1/admin/custom-fields/[entityType],GET,false,,,false
/api/v1/admin/languages,GET,false,admin,cross,false
/api/v1/admin/languages,PUT,true,admin,cross,false
/api/v1/admin/org-hierarchy,GET,false,admin|admin,cross,false
/api/v1/admin/org-hierarchy,PUT,true,admin|admin,cross,false
/api/v1/admin/performance/cache-invalidate,POST,true,admin,cross,false
/api/v1/admin/performance/cache-stats,GET,false,admin,cross,false
/api/v1/admin/performance/slow-queries,GET,false,admin,cross,false
/api/v1/admin/roles,GET,false,admin|admin,cross,false
/api/v1/admin/roles,POST,true,admin|admin,cross,false
/api/v1/admin/roles/[id],GET,false,admin|admin|admin,cross,false
/api/v1/admin/roles/[id],PUT,true,admin|admin|admin,cross,false
/api/v1/admin/roles/[id],DELETE,true,admin|admin|admin,cross,false
/api/v1/admin/roles/[id]/users,GET,false,admin|admin,cross,false
/api/v1/admin/roles/[id]/users,POST,true,admin|admin,cross,false
/api/v1/admin/roles/[id]/users/[userId],DELETE,true,admin,cross,false
/api/v1/admin/scim/logs,GET,false,admin,cross,false
/api/v1/admin/scim/stats,GET,false,admin,cross,false
/api/v1/admin/scim/tokens,GET,false,admin|admin,cross,false
/api/v1/admin/scim/tokens,POST,true,admin|admin,cross,false
/api/v1/admin/scim/tokens/[id],DELETE,true,admin,cross,false
/api/v1/admin/sso/discover,POST,true,admin,cross,false
/api/v1/admin/sso/metadata,POST,true,admin,cross,false
/api/v1/admin/sso,GET,false,admin|admin|admin|admin,cross,false
/api/v1/admin/sso,POST,true,admin|admin|admin|admin,cross,false
/api/v1/admin/sso,PUT,true,admin|admin|admin|admin,cross,false
/api/v1/admin/sso,DELETE,true,admin|admin|admin|admin,cross,false
/api/v1/admin/sso/test,POST,true,admin,cross,false
/api/v1/agents/dashboard,GET,false,admin,cross,false
/api/v1/agents/recommendations,GET,false,admin,cross,false
/api/v1/agents/recommendations/[id],PUT,true,admin,cross,false
/api/v1/agents,GET,false,admin|admin,cross,false
/api/v1/agents,POST,true,admin|admin,cross,false
/api/v1/agents/[id]/log,GET,false,admin,cross,false
/api/v1/agents/[id],GET,false,admin|admin,cross,false
/api/v1/agents/[id],PUT,true,admin|admin,cross,false
/api/v1/agents/[id]/run,POST,true,admin,cross,false
/api/v1/ai/control-suggestions,POST,true,admin|risk_manager|control_owner,cross|2nd|1st,false
/api/v1/ai/rcm-gap-analysis,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/ai/root-cause-patterns,POST,true,admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/ai/test-plan,POST,true,admin|risk_manager|auditor|control_owner,cross|2nd|3rd|1st,false
/api/v1/ai/usage,GET,false,admin,cross,false
/api/v1/ai-act/authority,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/authority,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/conformity-assessments,GET,false,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/conformity-assessments,POST,true,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/conformity-assessments/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/conformity-assessments/[id],PATCH,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/corrective-actions,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/corrective-actions,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/corrective-actions/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/corrective-actions/[id],PUT,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/dashboard,GET,false,admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/framework-mappings,GET,false,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/framework-mappings,POST,true,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/framework-mappings/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/framework-mappings/[id],PATCH,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/frias,GET,false,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/frias,POST,true,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/frias/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/frias/[id],PATCH,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/gpai,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/gpai,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/gpai/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/gpai/[id],PUT,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/incidents,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/incidents,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/incidents/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/incidents/[id],PUT,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/oversight-logs,GET,false,admin|risk_manager|dpo|control_owner|admin|risk_manager|dpo|auditor|viewer,cross|2nd|1st|3rd|read,false
/api/v1/ai-act/oversight-logs,POST,true,admin|risk_manager|dpo|control_owner|admin|risk_manager|dpo|auditor|viewer,cross|2nd|1st|3rd|read,false
/api/v1/ai-act/penalties,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/penalties,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/prohibited,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/prohibited,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/qms,GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/qms,POST,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/systems,GET,false,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/systems,POST,true,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/systems/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo|admin,cross|2nd|3rd|read,false
/api/v1/ai-act/systems/[id],PATCH,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo|admin,cross|2nd|3rd|read,false
/api/v1/ai-act/systems/[id],DELETE,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo|admin,cross|2nd|3rd|read,false
/api/v1/ai-act/transparency-entries,GET,false,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/transparency-entries,POST,true,admin|risk_manager|dpo|admin|risk_manager|dpo|auditor|viewer,cross|2nd|3rd|read,false
/api/v1/ai-act/transparency-entries/[id],GET,false,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/ai-act/transparency-entries/[id],PATCH,true,admin|risk_manager|dpo|auditor|viewer|admin|risk_manager|dpo,cross|2nd|3rd|read,false
/api/v1/api-keys,GET,false,admin|admin,cross,false
/api/v1/api-keys,POST,true,admin|admin,cross,false
/api/v1/api-keys/scopes,GET,false,admin,cross,false
/api/v1/api-keys/usage,GET,false,admin,cross,false
/api/v1/api-keys/usage/stats,GET,false,admin,cross,false
/api/v1/api-keys/[id],GET,false,admin|admin|admin,cross,false
/api/v1/api-keys/[id],PATCH,true,admin|admin|admin,cross,false
/api/v1/api-keys/[id],DELETE,true,admin|admin|admin,cross,false
/api/v1/assets/hierarchy,GET,false,,,false
/api/v1/assets,GET,false,admin,cross,false
/api/v1/assets,POST,true,admin,cross,false
/api/v1/assets/[id]/effective-cia,GET,false,,,false
/api/v1/assets/[id],GET,false,admin|admin,cross,false
/api/v1/assets/[id],PUT,true,admin|admin,cross,false
/api/v1/assets/[id],DELETE,true,admin|admin,cross,false
/api/v1/assets/[id]/work-items,GET,false,,,false
/api/v1/assurance/scores,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/assurance/scores/[module],GET,false,admin|risk_manager,cross|2nd,false
/api/v1/assurance/trend,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/audit-log/integrity,GET,false,admin|auditor,cross|3rd,false
/api/v1/audit-log/integrity-check,GET,false,admin|auditor,cross|3rd,false
/api/v1/audit-log,GET,false,admin|auditor|dpo,cross|3rd|2nd,false
/api/v1/audit-mgmt/analytics/imports,GET,false,,,false
/api/v1/audit-mgmt/analytics/imports,POST,true,,,false
/api/v1/audit-mgmt/analytics/imports/[id]/analyze,POST,true,,,false
/api/v1/audit-mgmt/analytics/imports/[id]/results,GET,false,,,false
/api/v1/audit-mgmt/analytics/results/[id]/create-finding,POST,true,,,false
/api/v1/audit-mgmt/analytics/templates,GET,false,,,false
/api/v1/audit-mgmt/audit-impact-kris,GET,false,,,false
/api/v1/audit-mgmt/auditor-profiles,GET,false,admin|auditor|risk_manager|admin,cross|3rd|2nd,false
/api/v1/audit-mgmt/auditor-profiles,POST,true,admin|auditor|risk_manager|admin,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits,GET,false,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits,POST,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits/[id]/activities,GET,false,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/activities,POST,true,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/checklists/generate,POST,true,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/checklists,GET,false,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/checklists,POST,true,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/checklists/[checklistId]/items,GET,false,,,false
/api/v1/audit-mgmt/audits/[id]/checklists/[checklistId]/items/[itemId]/create-finding,POST,true,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/checklists/[checklistId]/items/[itemId],PUT,true,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/audits/[id]/report,GET,false,,,false
/api/v1/audit-mgmt/audits/[id],GET,false,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits/[id],PUT,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits/[id],DELETE,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/audits/[id]/status,PUT,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/continuous-rules,GET,false,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/continuous-rules,POST,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/dashboard,GET,false,,,false
/api/v1/audit-mgmt/plans,GET,false,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans,POST,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/suggest,GET,false,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id]/items,GET,false,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id]/items,POST,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id],GET,false,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id],PUT,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id],DELETE,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/plans/[id]/status,PUT,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/qa-review,GET,false,admin|auditor|admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/qa-review,POST,true,admin|auditor|admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/templates,GET,false,admin|auditor,cross|3rd,false
/api/v1/audit-mgmt/universe,GET,false,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/universe,POST,true,admin|auditor|risk_manager,cross|3rd|2nd,false
/api/v1/audit-mgmt/universe/[id],GET,false,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/universe/[id],PUT,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/universe/[id],DELETE,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/working-papers,GET,false,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/audit-mgmt/working-papers,POST,true,admin|auditor|risk_manager|admin|auditor,cross|3rd|2nd,false
/api/v1/auth/admin-login,POST,true,,,true
/api/v1/auth/sso/config,GET,false,,,true
/api/v1/auth/sso/oidc/callback,GET,false,,,true
/api/v1/auth/sso/oidc/login,GET,false,,,true
/api/v1/auth/sso/saml/callback,POST,true,,,true
/api/v1/auth/sso/saml/login,GET,false,,,true
/api/v1/auth/switch-org,POST,true,,,true
/api/v1/automation/dashboard,GET,false,admin,cross,false
/api/v1/automation/entity-fields,GET,false,admin,cross,false
/api/v1/automation/executions,GET,false,admin,cross,false
/api/v1/automation/rules,GET,false,admin|admin,cross,false
/api/v1/automation/rules,POST,true,admin|admin,cross,false
/api/v1/automation/rules/[id]/activate,PUT,true,admin,cross,false
/api/v1/automation/rules/[id],GET,false,admin|admin|admin,cross,false
/api/v1/automation/rules/[id],PUT,true,admin|admin|admin,cross,false
/api/v1/automation/rules/[id],DELETE,true,admin|admin|admin,cross,false
/api/v1/automation/rules/[id]/test,POST,true,admin,cross,false
/api/v1/automation/templates,GET,false,admin,cross,false
/api/v1/bcms/bia,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id]/impacts/heatmap,GET,false,,,false
/api/v1/bcms/bia/[id]/impacts,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id]/impacts,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id],GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id],PUT,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id]/suppliers,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/bia/[id]/suppliers,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/contact-trees,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/contact-trees,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/contact-trees/[treeId]/nodes,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/contact-trees/[treeId]/nodes,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/activate,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/log,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/log,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/resolve,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id],GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id],PUT,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/team,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/team,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/crisis/[id]/team/[memberId],DELETE,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/dashboard,GET,false,,,false
/api/v1/bcms/dashboards,GET,false,admin|risk_manager|control_owner|process_owner|auditor|viewer,cross|2nd|1st|3rd|read,false
/api/v1/bcms/erm-sync,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id]/complete,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id]/findings,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id]/findings,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id]/lessons,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id]/lessons,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id],GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/exercises/[id],PUT,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/procedures,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/procedures,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/procedures/[procId],PUT,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/procedures/[procId],DELETE,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/resources,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/resources,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id],GET,false,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id],PUT,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id],DELETE,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/plans/[id]/status,PUT,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/recovery-procedures,GET,false,admin|risk_manager|process_owner,cross|2nd|1st,false
/api/v1/bcms/recovery-procedures,POST,true,admin|risk_manager|process_owner,cross|2nd|1st,false
/api/v1/bcms/resilience/score,GET,false,,,false
/api/v1/bcms/strategies,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bcms/strategies,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bcms/strategies/[id],GET,false,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/strategies/[id],PUT,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bcms/strategies/[id],DELETE,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/brand-config,GET,false,admin,cross,false
/api/v1/bi-reports/brand-config,PUT,true,admin,cross,false
/api/v1/bi-reports/data-sources,GET,false,admin,cross,false
/api/v1/bi-reports/data-sources,POST,true,admin,cross,false
/api/v1/bi-reports/data-sources/[id],GET,false,admin|admin,cross,false
/api/v1/bi-reports/data-sources/[id],PATCH,true,admin|admin,cross,false
/api/v1/bi-reports/data-sources/[id],DELETE,true,admin|admin,cross,false
/api/v1/bi-reports/executions,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/executions,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/executions/[id],GET,false,,,false
/api/v1/bi-reports/queries/execute,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/queries,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/queries,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/queries/[id],GET,false,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/queries/[id],PATCH,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/queries/[id],DELETE,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/scheduled,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/scheduled,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/scheduled/[id],PATCH,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/scheduled/[id],DELETE,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/shares,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/shares,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/shares/[id],PATCH,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/shares/[id],DELETE,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/widgets,GET,false,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/widgets,POST,true,admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/widgets/[id],PATCH,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/widgets/[id],DELETE,true,admin|risk_manager|admin|risk_manager,cross|2nd,false
/api/v1/bi-reports/[id],GET,false,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/[id],PATCH,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/bi-reports/[id],DELETE,true,admin|risk_manager|admin,cross|2nd,false
/api/v1/billing/invoices,GET,false,admin,cross,false
/api/v1/billing/invoices/[id],GET,false,admin,cross,false
/api/v1/bpm/kpis,GET,false,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/kpis,POST,true,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/maturity,GET,false,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/maturity,POST,true,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/mining,GET,false,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/mining,POST,true,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/my-homepage,GET,false,admin|risk_manager|control_owner|process_owner|auditor|viewer,cross|2nd|1st|3rd|read,false
/api/v1/bpm/templates,GET,false,admin|process_owner|risk_manager|viewer,cross|1st|2nd|read,false
/api/v1/bpm/templates,POST,true,admin|process_owner|risk_manager|viewer,cross|1st|2nd|read,false
/api/v1/bpm/templates,PUT,true,admin|process_owner|risk_manager|viewer,cross|1st|2nd|read,false
/api/v1/bpm/templates,DELETE,true,admin|process_owner|risk_manager|viewer,cross|1st|2nd|read,false
/api/v1/bpm/vsm,GET,false,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/bpm/vsm,POST,true,admin|process_owner|risk_manager|admin|process_owner,cross|1st|2nd,false
/api/v1/branding/css/[orgId],GET,false,,,true
/api/v1/budget/executive-report/[year],GET,false,admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget,GET,false,admin|risk_manager|auditor|admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget,POST,true,admin|risk_manager|auditor|admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget/usage,GET,false,admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget/[year]/approve,PUT,true,admin,cross,false
/api/v1/budget/[year]/forecast,GET,false,admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget/[year]/lines,GET,false,admin|risk_manager|admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget/[year]/lines,POST,true,admin|risk_manager|admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budget/[year],GET,false,admin|risk_manager|auditor|admin|risk_manager,cross|2nd|3rd,false
/api/v1/budget/[year],PUT,true,admin|risk_manager|auditor|admin|risk_manager,cross|2nd|3rd,false
/api/v1/budget/[year]/vs-actual,GET,false,admin|risk_manager|auditor,cross|2nd|3rd,false
/api/v1/budgets,GET,false,,,false
/api/v1/calendar/capacity-heatmap,GET,false,,,false
/api/v1/calendar/events,GET,false,admin|risk_manager|control_owner|process_owner|dpo|auditor,cross|2nd|1st|3rd,false
